Time (sec),Water Level (ft),Water Flowrate (GPM),House Steam Pressure (psig),Steam Pressure (psig),Inlet Water Temperature (C),Outlet Water Temperature (C),Makeup Temperature (C),Makeup Flowrate (L/min),Ambient Temperature (C),Ambient Pressure (kPa),Flow Setpoint (GPM),Flow Control Output (%),Level Setpoint (ft),Level Control Output (%),Steam Setpoint (psig),Steam Control Output (%),Tube-Side Pressure Drop (psig)
91309.164,1.463014,49.698825,48.312159,20.265428,65.526529,71.594377,10.060631,21.390024,23.938617,86.127322,50.022543,78.944623,1.500676,2.22049,20.009017,31.937828,0.462764
91310.168,1.469346,50.206132,48.65215,20.206963,65.53802,71.69193,10.048801,21.289976,23.923736,86.196704,50.060976,78.756299,1.501829,2.049053,20.02439,31.938767,0.469489
91311.168,1.464372,50.350713,48.1827,19.865227,65.531352,71.590355,10.025652,21.24255,23.915222,86.197232,50.0625,78.577557,1.501875,1.887222,20.025,32.122427,0.454163
91312.168,1.478047,50.352286,48.584587,20.138079,65.566475,71.656466,10.024815,21.241087,23.952488,86.197093,50.062189,78.474297,1.501866,2.426694,20.024876,31.962316,0.451352
91313.17,1.493138,50.347418,48.24484,20.004538,65.575018,71.638611,10.045974,21.244111,23.972164,86.200559,50.063939,78.381999,1.501918,2.769194,20.025575,32.041747,0.43664
91314.17,1.514753,50.277513,48.488485,19.800256,65.472743,71.61995,10.069451,21.230074,23.979807,86.19848,50.061425,78.343928,1.501843,6.194151,20.02457,32.14011,0.452468
91315.17,1.521934,50.229939,48.712394,20.182816,65.470353,71.580095,10.019585,21.266508,23.940356,86.198038,50.063291,78.31726,1.501899,10.498064,20.025316,31.955139,0.456232
91316.17,1.522524,50.276001,47.667133,19.926872,65.449688,71.525007,10.037509,21.332881,23.988295,86.192815,50.060901,78.212431,1.501827,16.301419,20.024361,32.079043,0.466592
91317.172,1.525666,50.252441,48.387892,19.9297,65.556297,71.5534,10.052148,21.350314,23.912985,86.195255,50.061576,78.162807,1.501847,21.982509,20.024631,32.099838,0.45632
91318.172,1.516145,50.253598,49.031185,19.812806,65.443884,71.629082,10.073145,21.2467,23.928852,86.199331,50.063291,78.100144,1.501899,26.494568,20.025316,32.17012,0.481573
91319.172,1.486891,50.25117,47.747503,20.070332,65.374939,71.632321,10.020313,21.133073,23.922022,86.195107,50.061652,78.032983,1.50185,23.41294,20.024661,32.0625,0.462109
91320.172,1.488789,50.126927,48.334023,20.269611,65.563685,71.601045,10.006353,21.083186,23.913828,86.196861,50.062814,78.08257,1.501884,19.453515,20.025126,31.979358,0.452456
91321.172,1.502661,49.934341,48.150198,19.881178,65.633004,71.642481,10.01409,21.13916,23.95554,86.198398,50.062814,78.235117,1.501884,20.174068,20.025126,32.120581,0.454462
91322.174,1.499954,49.74797,48.098422,20.382731,65.571863,71.749676,10.019576,21.309588,23.961061,86.193298,50.060901,78.445478,1.501827,19.225677,20.024361,31.886144,0.441489
91323.174,1.492763,49.747802,47.853895,20.044311,65.578343,71.70222,9.983141,21.45562,23.963156,86.192268,50.06105,78.553628,1.501832,18.027913,20.02442,32.00878,0.461678
91324.174,1.481289,49.410287,48.304341,20.071498,65.565562,71.647021,10.029353,21.546186,23.959123,86.197958,50.062814,78.969932,1.501884,13.061142,20.025126,31.99254,0.456751
91325.174,1.480999,49.478249,47.46352,20.296642,65.527445,71.650099,9.967225,21.555018,24.031508,86.197473,50.061728,79.133995,1.501852,7.654545,20.024691,31.882152,0.446046
91326.176,1.50681,49.646649,48.31965,19.847703,65.467573,71.588385,10.030337,21.456499,24.02825,86.196536,50.062112,79.179765,1.501863,7.031501,20.024845,32.083505,0.475298
91327.184,1.528456,49.83181,48.178903,20.060607,65.609745,71.62128,10.022751,21.340272,23.969209,86.195631,50.061805,79.157002,1.501854,13.599773,20.024722,31.99335,0.444887
91328.186,1.52807,50.039306,48.388644,20.162796,65.599569,71.661771,9.996215,21.223238,23.961994,86.198391,50.062344,79.04716,1.50187,19.915068,20.024938,31.930278,0.4714
91329.187,1.507759,50.178193,48.48735,19.63621,65.612875,71.654552,10.082172,21.203423,23.965924,86.201668,50.063694,78.930261,1.501911,23.045663,20.025478,32.203654,0.459203
91330.187,1.490479,50.202565,48.124993,20.109056,65.747555,71.683751,10.002344,21.245968,23.968056,86.198323,50.063131,78.866953,1.501894,19.955991,20.025253,31.984008,0.463774
91331.187,1.506335,50.200537,48.313312,19.987941,65.674494,71.741979,10.032835,21.331175,24.005233,86.195026,50.062112,78.818259,1.501863,20.970266,20.024845,32.054684,0.433961
91332.187,1.497596,50.244855,47.842651,19.829862,65.625939,71.723443,10.092848,21.348935,23.97025,86.195052,50.062035,78.731705,1.501861,20.904402,20.024814,32.169883,0.495545
91333.187,1.490478,50.252055,48.037804,20.379868,65.580597,71.736562,10.014726,21.36182,24.010538,86.198883,50.062578,78.662309,1.501877,18.212944,20.025031,31.898358,0.444133
91334.187,1.499299,50.276449,48.671188,19.653411,65.533053,71.629424,10.09506,21.309451,23.956182,86.199878,50.062735,78.576786,1.501882,16.366259,20.025094,32.222479,0.496951
91335.187,1.504714,50.354759,48.310889,19.948215,65.561779,71.628454,10.039982,21.277969,24.004477,86.194226,50.060827,78.429933,1.501825,17.293929,20.024331,32.10472,0.450756
91336.192,1.488596,50.400227,48.831484,20.219182,65.406329,71.618271,10.064354,21.198502,23.97839,86.196562,50.062657,78.289705,1.50188,15.583965,20.025063,31.987045,0.435881
91337.192,1.481173,50.49135,47.812178,20.080635,65.52305,71.564224,10.018012,21.20059,23.952474,86.20026,50.063776,78.094167,1.501913,10.631992,20.02551,32.013789,0.456752
91338.192,1.48602,50.551866,47.872365,20.288552,65.626832,71.589467,10.024292,21.274215,23.908776,86.195689,50.062035,77.886232,1.501861,6.154315,20.024814,31.889395,0.4411
91339.192,1.485419,50.613426,47.639796,20.005163,65.56201,71.707573,10.04492,21.28615,23.96852,86.195574,50.060901,77.66161,1.501827,3.116059,20.024361,32.029219,0.48001
91340.192,1.491958,50.630629,47.463825,19.672965,65.566892,71.690035,10.108879,21.213963,24.01825,86.198128,50.062422,77.458929,1.501873,3.169368,20.024969,32.199037,0.471904
91341.192,1.484843,50.458801,47.478398,20.100056,65.621006,71.762567,9.997328,21.080197,24.044115,86.197754,50.062735,77.416496,1.501882,2.227683,20.025094,32.006922,0.47533
91342.195,1.491553,50.080025,47.98036,19.908583,65.515503,71.832158,10.068866,20.988337,23.969119,86.195395,50.06105,77.62043,1.501832,2.377345,20.02442,32.155556,0.447419
91343.199,1.474665,49.695319,47.568388,20.253047,65.462622,71.754891,9.978335,21.058945,24.018246,86.197301,50.0612,77.956572,1.501836,2.341943,20.02448,31.956832,0.471819
91344.204,1.480829,49.325092,47.844123,19.88586,65.475765,71.675207,10.0119,21.187334,23.990699,86.19465,50.060096,78.420295,1.501803,1.638016,20.024038,32.098116,0.463943
91345.204,1.493786,49.270651,47.735714,20.04504,65.470585,71.616715,10.034984,21.332648,24.030958,86.196738,50.062578,78.736393,1.501877,3.466829,20.025031,31.992864,0.437341
91346.204,1.503095,49.179741,47.976783,20.203712,65.513989,71.613642,10.013927,21.466705,24.029528,86.198647,50.062657,79.088773,1.50188,3.821982,20.025063,31.938863,0.460919
91347.204,1.509237,49.422709,47.848316,19.110512,65.565659,71.608188,10.139189,21.560101,23.972997,86.197993,50.062657,79.183741,1.50188,5.943363,20.025063,32.541631,0.475365
91348.204,1.493827,49.76296,47.334776,20.201289,65.506419,71.640275,10.077304,21.603635,23.960025,86.20243,50.062578,79.092895,1.501877,4.917077,20.025031,32.073045,0.439129
91349.21,1.497599,50.059559,47.745865,20.014673,65.496834,71.610342,10.043568,21.480252,23.983213,86.199585,50.062267,78.922353,1.501868,3.03889,20.024907,32.163218,0.431727
91350.21,1.5137,50.101798,47.280507,19.943793,65.563875,71.55854,10.039698,21.317776,24.00929,86.200278,50.062893,78.879599,1.501887,5.69102,20.025157,32.210703,0.483822
