Time (sec),Water Level (ft),Water Flowrate (GPM),House Steam Pressure (psig),Steam Pressure (psig),Inlet Water Temperature (C),Outlet Water Temperature (C),Makeup Temperature (C),Makeup Flowrate (L/min),Ambient Temperature (C),Ambient Pressure (kPa),Flow Setpoint (GPM),Flow Control Output (%),Level Setpoint (ft),Level Control Output (%),Steam Setpoint (psig),Steam Control Output (%),Tube-Side Pressure Drop (psig)
87880.355,1.524982,25.070902,54.560548,44.969858,46.15427,53.562375,9.989569,21.42057,23.845492,86.284008,25.031289,47.733408,1.501877,11.261711,45.05632,69.017704,0.513447
87881.355,1.52179,24.948934,53.970017,45.312123,46.235676,53.564334,9.916926,21.543994,23.797007,86.279783,25.030675,47.826332,1.50184,16.624257,45.055215,68.807985,0.466979
87882.355,1.506462,24.765973,54.161641,45.097219,46.100053,53.582872,9.932716,21.548729,23.806999,86.282738,25.031289,48.021859,1.501877,18.194875,45.05632,68.906473,0.488165
87883.356,1.513847,24.636564,54.186333,45.149392,46.216355,53.601248,9.969098,21.548638,23.804531,86.282533,25.030826,48.234801,1.50185,21.003013,45.055487,68.875188,0.499068
87884.356,1.511321,24.604109,54.329573,44.66544,46.245471,53.499425,9.967059,21.547314,23.779799,86.283744,25.031726,48.396643,1.501904,23.262502,45.057107,69.130638,0.468304
87885.356,1.513755,24.451255,54.305863,45.038265,46.190235,53.464417,9.972641,21.531754,23.818036,86.284013,25.03075,48.688592,1.501845,26.130881,45.055351,68.998147,0.480302
87886.358,1.516554,24.552798,54.128178,45.233018,46.328272,53.473071,9.99049,21.4748,23.730527,86.28306,25.031726,48.801401,1.501904,29.452669,45.057107,68.871486,0.477837
87887.358,1.51407,24.712359,53.952954,45.528256,46.255786,53.436074,9.945204,21.369875,23.833368,86.283668,25.031172,48.815897,1.50187,32.800413,45.05611,68.682101,0.451878
87888.36,1.516137,24.935869,54.787482,45.024745,46.157006,53.469467,10.004375,21.217869,23.815721,86.287972,25.032051,48.723036,1.501923,36.049757,45.057692,68.88045,0.477666
87889.36,1.510914,25.086738,54.324295,45.093716,46.306027,53.433634,9.984828,21.086851,23.800658,86.286812,25.031646,48.61712,1.501899,38.555641,45.056962,68.864727,0.49428
