Time (sec),Water Level (ft),Water Flowrate (GPM),House Steam Pressure (psig),Steam Pressure (psig),Inlet Water Temperature (C),Outlet Water Temperature (C),Makeup Temperature (C),Makeup Flowrate (L/min),Ambient Temperature (C),Ambient Pressure (kPa),Flow Setpoint (GPM),Flow Control Output (%),Level Setpoint (ft),Level Control Output (%),Steam Setpoint (psig),Steam Control Output (%),Tube-Side Pressure Drop (psig)
89376.614,1.416963,36.925187,51.494341,33.058369,61.188365,67.545409,10.061223,21.168477,23.871645,86.249077,37.547649,64.419161,1.501906,15.775911,32.541296,48.658104,0.463404
89377.614,1.41225,37.612664,50.90797,32.550654,61.095194,67.659284,10.080849,21.205743,23.884782,86.252217,37.547589,63.995125,1.501904,1.789674,32.541244,48.898439,0.466142
89378.621,1.408985,38.30611,51.393588,32.980554,61.081156,67.745202,10.022111,21.303998,23.922747,86.246768,37.546182,63.330293,1.501847,0.887924,32.540025,48.571331,0.477787
89379.621,1.413224,38.679815,51.198318,32.67582,61.107623,67.627434,10.077917,21.346762,23.832663,86.248947,37.547289,62.742376,1.501892,1.207628,32.540984,48.706413,0.492536
89380.622,1.414069,38.923199,51.821293,32.608386,61.19688,67.773718,10.061148,21.326213,23.889525,86.245786,37.546012,62.120757,1.50184,0.893487,32.539877,48.717724,0.487654
89381.625,1.414165,38.756633,51.086741,32.724936,61.232659,67.95475,10.025921,21.277844,23.824755,86.24788,37.545565,61.792984,1.501823,1.153003,32.53949,48.620543,0.466847
89382.631,1.410536,38.295255,51.916459,32.671366,61.226789,67.987334,9.992458,21.256566,23.837456,86.247844,37.54717,61.803056,1.501887,1.287693,32.540881,48.63687,0.449449
89383.632,1.410233,37.713335,51.212456,31.82475,61.015967,67.887225,10.060331,21.29497,23.92018,86.251059,37.547529,62.061403,1.501901,1.051241,32.541191,49.072999,0.50094
89384.632,1.416829,37.042075,51.430823,32.243079,61.230255,67.901706,10.092374,21.34148,23.83693,86.24901,37.546182,62.618421,1.501847,1.316032,32.540025,48.962636,0.492489
89385.636,1.412259,36.389032,52.22398,32.132422,61.195457,67.987773,10.085167,21.294446,23.869769,86.250279,37.546526,63.387269,1.501861,1.175241,32.540323,49.080517,0.532996
89386.637,1.420803,36.248711,50.715756,32.771363,61.338083,67.911083,10.06406,21.227947,23.894593,86.248858,37.545956,63.918387,1.501838,1.6664,32.539828,48.760582,0.46205
89387.637,1.417131,36.633414,50.790644,32.553487,61.341742,67.805842,9.998356,21.10134,23.886829,86.2531,37.548956,64.038463,1.501958,1.651339,32.542428,48.830955,0.451841
89388.637,1.441823,37.032267,52.029964,32.553805,61.238081,67.845225,10.069303,21.011414,23.818874,86.247111,37.546182,63.974481,1.501847,1.57212,32.540025,48.83839,0.482666
89389.639,1.452677,37.559314,51.587066,32.895585,61.327072,67.809732,10.059849,21.041056,23.828715,86.244337,37.546526,63.671291,1.501861,1.342369,32.540323,48.646478,0.476977
89390.64,1.4535,38.141884,50.905067,32.697047,61.237863,67.826986,10.031367,21.179032,23.83258,86.25228,37.548575,63.140044,1.501943,1.63342,32.542098,48.688894,0.47753
