Time (sec),Water Level (ft),Water Flowrate (GPM),House Steam Pressure (psig),Steam Pressure (psig),Inlet Water Temperature (C),Outlet Water Temperature (C),Makeup Temperature (C),Makeup Flowrate (L/min),Ambient Temperature (C),Ambient Pressure (kPa),Flow Setpoint (GPM),Flow Control Output (%),Level Setpoint (ft),Level Control Output (%),Steam Setpoint (psig),Steam Control Output (%),Tube-Side Pressure Drop (psig)
689892.923,1.45323,49.706861,51.66179,19.991009,67.05807,73.103284,9.974328,20.968134,24.297346,86.758461,50.058685,79.251193,1.501761,45.854653,20.023474,32.083248,0.475578
689893.923,1.4244,49.934856,52.552268,19.834937,67.098063,73.112233,9.970373,20.984055,24.276804,86.759166,50.058343,79.162743,1.50175,26.922628,20.023337,32.171859,0.487539
689894.923,1.417866,50.073107,53.201078,20.031632,67.019048,73.13231,9.965858,21.050953,24.308091,86.759871,50.058343,79.076434,1.50175,6.644683,20.023337,32.092534,0.483149
689895.925,1.426194,50.072894,52.635562,19.998571,67.027431,73.112714,9.976715,21.080939,24.322426,86.760194,50.058617,79.072238,1.501758,1.162725,20.023447,32.119247,0.48044
689896.927,1.440697,50.221679,52.334246,20.089747,67.051388,73.157123,9.961839,21.091671,24.3597,86.760975,50.05814,78.930821,1.501744,1.461364,20.023256,32.067788,0.471635
689897.927,1.448596,50.17091,53.179664,20.094295,67.100316,73.163952,9.962038,21.071236,24.33553,86.762448,50.058893,78.922212,1.501767,1.194561,20.023557,32.0563,0.473851
689898.927,1.464568,50.13057,51.95196,20.311625,66.957322,73.156404,9.97007,21.092855,24.353262,86.760103,50.057737,78.919242,1.501732,2.116173,20.023095,31.915728,0.485575
689899.934,1.466758,50.174377,52.462261,19.897608,66.898715,73.074362,9.965737,21.168495,24.37458,86.761118,50.057937,78.853638,1.501738,1.708756,20.023175,32.112729,0.479942
689900.934,1.462492,50.176311,52.022225,19.904641,66.964455,73.026267,9.971528,21.27944,24.378953,86.761144,50.05848,78.813714,1.501754,1.886149,20.023392,32.142171,0.47117
689901.934,1.464648,50.231296,52.953461,20.024327,66.91725,73.041473,9.976934,21.360877,24.335628,86.76178,50.057471,78.72179,1.501724,1.942559,20.022989,32.089513,0.477516
689902.935,1.479211,50.330803,52.970495,20.210237,66.997724,72.992983,9.980123,21.327263,24.30012,86.76185,50.057208,78.570363,1.501716,2.368837,20.022883,31.958354,0.481045
689903.937,1.479648,50.375816,53.483164,19.797485,67.010807,73.056855,9.967683,21.18215,24.35647,86.761999,50.058411,78.437626,1.501752,2.176994,20.023364,32.177744,0.476116
689904.939,1.48191,50.348333,52.412332,20.090465,66.997227,73.103023,9.9547,20.996183,24.288959,86.764041,50.05767,78.351072,1.50173,1.901334,20.023068,32.037999,0.475018
689905.939,1.48466,50.262318,52.483747,20.219869,67.097678,73.159082,9.961362,20.848786,24.337138,86.763994,50.058962,78.331384,1.501769,2.758961,20.023585,31.965099,0.479536
689906.939,1.498464,50.044775,52.808425,19.995066,67.117696,73.208879,9.945543,20.88656,24.327266,86.760287,50.058548,78.456461,1.501756,4.813903,20.023419,32.060536,0.482288
689907.939,1.496616,49.820954,52.987653,19.993298,67.164855,73.247236,9.950866,21.142845,24.307564,86.757296,50.058005,78.668996,1.50174,4.258212,20.023202,32.068629,0.472176
689908.939,1.503727,49.572344,52.375428,19.86545,67.233617,73.300872,9.984602,21.423127,24.308892,86.76042,50.059666,78.978683,1.50179,3.863309,20.023866,32.144538,0.470822
689909.941,1.51298,49.442442,52.8301,19.958079,67.135109,73.335489,9.970141,21.571891,24.287562,86.761639,50.059102,79.261178,1.501773,6.604431,20.023641,32.117792,0.47562
689910.941,1.500535,49.438693,52.543459,19.88701,67.186563,73.228545,9.978293,21.586132,24.283004,86.763958,50.060024,79.483324,1.501801,6.862029,20.02401,32.164679,0.470744
689911.942,1.514736,49.596457,53.063922,20.089719,67.142725,73.233031,9.966338,21.522498,24.319177,86.761997,50.059102,79.546911,1.501773,8.975221,20.023641,32.085472,0.479969
689912.944,1.529684,49.886249,53.517033,20.084528,67.048955,73.232584,9.985906,21.430101,24.316758,86.761952,50.059595,79.445624,1.501788,15.830044,20.023838,32.067912,0.480045
