Time (sec),Water Level (ft),Water Flowrate (GPM),House Steam Pressure (psig),Steam Pressure (psig),Inlet Water Temperature (C),Outlet Water Temperature (C),Makeup Temperature (C),Makeup Flowrate (L/min),Ambient Temperature (C),Ambient Pressure (kPa),Flow Setpoint (GPM),Flow Control Output (%),Level Setpoint (ft),Level Control Output (%),Steam Setpoint (psig),Steam Control Output (%),Tube-Side Pressure Drop (psig)
691988.929,1.513187,24.251737,53.702064,19.829059,63.079743,73.640319,9.883473,21.341781,24.446661,86.799742,25.029104,49.33085,1.501746,59.484055,20.023283,32.248834,0.474739
691989.929,1.510025,24.233207,54.353919,19.825831,63.007477,73.633135,9.882809,21.285263,24.37681,86.80208,25.029138,49.616562,1.501748,61.997535,20.02331,32.277527,0.46662
691990.929,1.486416,24.549351,54.185565,20.050722,62.879941,73.624192,9.855452,21.200188,24.38306,86.799214,25.029036,49.616264,1.501742,59.180254,20.023229,32.173836,0.479999
691991.929,1.473819,24.857868,53.808436,19.861218,63.154238,73.550008,9.85282,21.201506,24.3821,86.796982,25.029036,49.49134,1.501742,52.991711,20.023229,32.285368,0.465149
691992.929,1.468331,25.091941,53.573034,19.971204,63.22066,73.528682,9.864533,21.324589,24.446608,86.798183,25.029656,49.338332,1.501779,44.939837,20.023725,32.24523,0.47117
691993.929,1.462732,25.188314,54.012497,20.192017,63.166808,73.690134,9.84713,21.509573,24.40118,86.794478,25.028736,49.222396,1.501724,35.22149,20.022989,32.12505,0.458316
691994.929,1.444782,25.215254,53.997033,20.275047,63.316307,73.768459,9.840785,21.588551,24.37469,86.799112,25.029104,49.141147,1.501746,22.109192,20.023283,32.047423,0.475598
691995.929,1.432728,25.197339,53.287078,20.199962,63.318455,73.787577,9.841795,21.51227,24.318441,86.799314,25.029172,49.093472,1.50175,6.341148,20.023337,32.050202,0.465222
691996.93,1.414633,25.172337,54.014365,20.37911,63.288073,73.797103,9.84737,21.322662,24.424107,86.79817,25.029002,49.057941,1.50174,1.570755,20.023202,31.936955,0.470006
691997.932,1.418121,25.184612,52.628695,20.436246,63.380199,73.946835,9.843125,21.208187,24.382218,86.800699,25.029274,48.999999,1.501756,1.407979,20.023419,31.843479,0.464252
691998.932,1.430005,25.235353,53.784636,20.001483,63.467205,73.912916,9.865717,21.202553,24.37952,86.797723,25.029308,48.903215,1.501758,1.636844,20.023447,32.030662,0.473518
691999.932,1.442414,25.267583,54.333097,20.084796,63.261271,73.867315,9.839101,21.262985,24.38703,86.799419,25.028769,48.798239,1.501726,1.319853,20.023015,31.99371,0.463585
692000.932,1.449315,25.315791,53.352575,20.120944,63.049579,73.959637,9.855899,21.433092,24.462149,86.802398,25.029274,48.677639,1.501756,1.387247,20.023419,31.949118,0.468465
692001.932,1.456725,25.359208,53.983599,19.85654,63.303886,73.84116,9.83284,21.590351,24.351165,86.806736,25.02907,48.536928,1.501744,1.874312,20.023256,32.085701,0.454178
692002.932,1.461675,25.327196,53.130754,20.221028,62.955385,73.695514,9.863158,21.749677,24.396294,86.805402,25.029274,48.449882,1.501756,1.514836,20.023419,31.911247,0.474869
692003.932,1.460747,25.27723,53.67259,20.147905,62.931988,73.771003,9.855021,21.892157,24.363116,86.801704,25.029343,48.394768,1.501761,2.186289,20.023474,31.926192,0.470562
692004.932,1.467744,25.220359,53.39257,20.08751,62.927489,73.714421,9.85942,21.967572,24.342522,86.802606,25.029481,48.360462,1.501769,1.739019,20.023585,31.930287,0.477336
692005.932,1.486166,25.088877,53.372377,20.027602,63.22889,73.801814,9.867033,21.919636,24.384941,86.805374,25.029516,48.411543,1.501771,3.256468,20.023613,31.959769,0.471816
692006.932,1.490917,24.933427,53.800338,19.988428,63.152187,73.847459,9.85177,21.822886,24.41623,86.804525,25.029172,48.528801,1.50175,3.833984,20.023337,31.985019,0.457746
692007.932,1.494335,24.733406,53.773027,19.819545,62.82364,74.043729,9.865047,21.682173,24.39475,86.802549,25.029343,48.745655,1.501761,3.440161,20.023474,32.08775,0.459445
692008.932,1.4956,24.567498,53.496056,19.72969,63.005571,74.013269,9.860172,21.529459,24.360203,86.80347,25.029308,48.998361,1.501758,2.695057,20.023447,32.184681,0.459087
692009.932,1.497786,24.44346,54.12667,19.868432,63.121628,73.80323,9.862865,21.396081,24.316088,86.798734,25.028506,49.269167,1.50171,3.771714,20.022805,32.139832,0.463152
692010.932,1.497979,24.434061,53.566216,19.907557,62.994262,73.593608,9.852936,21.19384,24.393592,86.800286,25.028902,49.48598,1.501734,3.485451,20.023121,32.147901,0.474125
692011.932,1.497213,24.460391,54.407346,19.905155,62.996616,73.653694,9.856953,21.136608,24.41052,86.802892,25.029762,49.666033,1.501786,2.807707,20.02381,32.169067,0.460789
692012.932,1.499319,24.657791,54.053552,19.831161,62.968182,73.581435,9.842299,21.211936,24.322198,86.803812,25.029516,49.695462,1.501771,4.038298,20.023613,32.22852,0.466274
692013.932,1.500027,24.885101,53.076719,19.827386,63.169577,73.59636,9.848214,21.339245,24.386719,86.802843,25.029036,49.606799,1.501742,4.28287,20.023229,32.258006,0.464816
692014.936,1.503058,25.041114,53.827825,19.963419,63.130854,73.586856,9.850997,21.437654,24.434279,86.80604,25.029412,49.518292,1.501765,4.551455,20.023529,32.199297,0.464828
692015.936,1.506013,25.180441,54.357052,20.095334,62.945747,73.686673,9.828594,21.509564,24.404011,86.799823,25.028769,49.379959,1.501726,5.206841,20.023015,32.136201,0.467453
692016.938,1.507789,25.216366,53.454178,19.822494,62.895566,73.626673,9.859304,21.644371,24.42061,86.800952,25.02907,49.292638,1.501744,6.823364,20.023256,32.28401,0.458576
692017.938,1.513354,25.281707,53.370997,19.906479,63.091385,73.523659,9.865039,21.76007,24.380472,86.803502,25.029586,49.174649,1.501775,9.277729,20.023669,32.273422,0.463998
692018.938,1.518461,25.316908,54.160235,20.114547,63.073654,73.501081,9.882163,21.812378,24.385925,86.801628,25.029308,49.051248,1.501758,13.318181,20.023447,32.176393,0.46684
692019.939,1.519138,25.303367,53.835533,19.992561,62.955384,73.689598,9.849534,21.724624,24.406,86.803326,25.029586,48.964192,1.501775,17.706695,20.023669,32.227953,0.470842
692020.939,1.505894,25.29248,54.03791,19.826501,63.073284,73.616291,9.856822,21.568046,24.401821,86.801976,25.029656,48.881466,1.501779,19.742668,20.023725,32.324458,0.462825
692021.942,1.511623,25.292637,53.670198,19.957684,62.976624,73.55928,9.856122,21.409131,24.378405,86.80193,25.029621,48.791699,1.501777,21.120723,20.023697,32.284411,0.46175
692022.942,1.525002,25.305219,53.804067,19.86291,62.900822,73.602577,9.859357,21.308519,24.373072,86.801515,25.029274,48.690319,1.501756,26.8737,20.023419,32.335452,0.464387
692023.944,1.525752,25.344248,53.766089,19.97348,62.988501,73.566233,9.865307,21.258704,24.425591,86.804035,25.029446,48.561324,1.501767,32.886244,20.023557,32.304229,0.467149
692024.944,1.527401,25.383285,54.565912,20.022211,62.763911,73.512328,9.845154,21.252015,24.304522,86.798678,25.029343,48.416648,1.501761,39.166903,20.023474,32.275904,0.47154
692025.944,1.528799,25.408693,52.368003,20.450374,62.949588,73.540903,9.846345,21.274898,24.333444,86.797211,25.029274,48.271558,1.501756,46.118652,20.023419,32.031944,0.469314
692026.944,1.519633,25.371177,53.394429,20.162637,63.051462,73.599596,9.836328,21.392329,24.359039,86.797998,25.029377,48.171252,1.501763,50.868047,20.023502,32.130744,0.477614
692027.944,1.511544,25.200731,53.147293,19.935689,62.985442,73.815136,9.843389,21.554778,24.349172,86.79501,25.028969,48.202966,1.501738,53.854142,20.023175,32.236107,0.462801
692028.944,1.508847,25.089109,53.648695,19.970441,62.696718,73.906725,9.852503,21.628736,24.355355,86.797376,25.029308,48.256917,1.501758,56.191519,20.023447,32.231233,0.469676
692029.945,1.482247,24.807456,53.672232,20.202016,62.814321,73.894928,9.850773,21.53389,24.339567,86.796835,25.02907,48.47162,1.501744,52.225024,20.023256,32.104474,0.474731
692030.949,1.483254,24.484502,53.484766,20.046924,62.983441,73.772917,9.843005,21.357485,24.331451,86.80091,25.029138,48.850645,1.501748,47.782833,20.02331,32.167598,0.464168
692031.949,1.473284,24.259953,53.975303,20.023769,62.906392,73.741364,9.864483,21.262817,24.322669,86.802178,25.029138,49.24634,1.501748,41.147953,20.02331,32.171166,0.46666
692032.949,1.470399,24.264057,53.918655,20.1189,62.913168,73.592078,9.867848,21.270774,24.321972,86.802225,25.029586,49.523287,1.501775,33.189544,20.023669,32.127527,0.477298
692033.953,1.467688,24.333817,53.654164,20.044732,63.058984,73.440157,9.853923,21.281107,24.372944,86.800492,25.029308,49.714023,1.501758,24.905814,20.023447,32.156798,0.464673
692034.954,1.435639,24.566755,53.792017,19.955576,63.154464,73.471572,9.847086,21.202844,24.314366,86.795493,25.028474,49.762566,1.501708,10.213751,20.022779,32.199026,0.470011
692035.954,1.42608,25.007669,54.334727,19.938093,63.083858,73.593611,9.871236,21.079149,24.326053,86.804235,25.029516,49.513166,1.501771,1.616708,20.023613,32.220042,0.470745
692036.954,1.427286,25.284168,54.354355,20.065903,63.074192,73.612464,9.866728,21.104675,24.334939,86.798796,25.029002,49.263742,1.50174,1.572631,20.023202,32.14714,0.460356
692037.954,1.430136,25.408138,53.862962,20.242294,63.037683,73.66591,9.851906,21.355604,24.34338,86.802631,25.029412,49.055502,1.501765,0.903784,20.023529,32.042937,0.468293
692038.954,1.429248,25.419112,53.791012,20.238056,62.735105,73.648225,9.849175,21.615394,24.344838,86.805534,25.029727,48.91625,1.501784,1.136106,20.023781,32.001905,0.470366
692039.956,1.444522,25.382978,53.269707,20.114426,62.813696,73.568216,9.848288,21.725749,24.344775,86.797807,25.028835,48.809094,1.50173,1.50053,20.023068,32.05374,0.456475
692040.958,1.453274,25.341618,54.05837,20.237803,63.012545,73.420051,9.8518,21.71191,24.324936,86.798114,25.029412,48.73006,1.501765,1.448616,20.023529,31.955544,0.468746
692041.958,1.466335,25.328371,54.118045,20.155775,62.946893,73.432061,9.848827,21.555091,24.376239,86.797981,25.029412,48.633751,1.501765,2.122127,20.023529,31.95097,0.468168
692042.958,1.467178,25.336591,53.151871,20.100471,62.703703,73.55572,9.839151,21.341959,24.387368,86.798903,25.029377,48.527104,1.501763,2.538073,20.023502,31.977533,0.457467
692043.958,1.467481,25.379143,53.273206,20.026964,63.168833,73.477308,9.823004,21.100655,24.377965,86.797905,25.02924,48.381532,1.501754,2.094414,20.023392,32.00974,0.466118
692044.958,1.470107,25.357343,53.038924,20.1538,63.005461,73.521238,9.847505,21.034509,24.285741,86.79819,25.029481,48.277792,1.501769,1.799948,20.023585,31.943079,0.46048
692045.958,1.480599,25.222364,53.219956,20.095289,62.890415,73.908809,9.863857,21.197821,24.32596,86.798317,25.028868,48.281507,1.501732,2.682174,20.023095,31.940802,0.46971
692046.962,1.487046,25.042773,53.656049,19.967431,62.948545,73.905702,9.854616,21.351514,24.381776,86.800233,25.029104,48.376515,1.501746,4.15013,20.023283,32.013233,0.471339
692047.962,1.494105,24.779337,54.740733,19.821986,62.821889,73.838348,9.85055,21.378997,24.310356,86.799602,25.029516,48.612398,1.501771,4.244307,20.023613,32.108566,0.4726
692048.962,1.491935,24.528393,53.761443,19.691465,63.027219,73.82326,9.878428,21.397248,24.297826,86.798355,25.028868,48.925818,1.501732,2.946096,20.023095,32.217445,0.459092
