Time (sec),Water Level (ft),Water Flowrate (GPM),House Steam Pressure (psig),Steam Pressure (psig),Inlet Water Temperature (C),Outlet Water Temperature (C),Makeup Temperature (C),Makeup Flowrate (L/min),Ambient Temperature (C),Ambient Pressure (kPa),Flow Setpoint (GPM),Flow Control Output (%),Level Setpoint (ft),Level Control Output (%),Steam Setpoint (psig),Steam Control Output (%),Tube-Side Pressure Drop (psig)
690554.087,1.515479,36.996891,51.936542,32.566423,70.680596,79.069889,9.965445,21.522467,24.282916,86.787598,37.543808,64.726381,1.501752,19.700861,32.537967,49.59444,0.473792
690555.088,1.516869,37.445364,52.138028,32.649674,70.816154,79.095687,9.95074,21.479749,24.278958,86.787503,37.543757,64.502911,1.50175,23.39987,32.537923,49.541454,0.482559
690556.088,1.509203,37.850096,52.329973,32.364365,70.85079,79.097631,9.960695,21.394248,24.308966,86.786431,37.543353,64.164498,1.501734,25.640897,32.537572,49.686518,0.475869
690557.088,1.51039,38.136014,52.310132,32.525147,70.832906,79.175363,9.97374,21.337544,24.271844,86.788514,37.543353,63.794516,1.501734,27.907918,32.537572,49.625835,0.471078
690558.088,1.509912,38.292274,52.725768,32.428979,70.852131,79.241772,9.951122,21.337002,24.235796,86.786989,37.544118,63.456307,1.501765,29.978403,32.538235,49.680339,0.469799
690559.089,1.507591,38.36005,52.124032,32.408362,70.750439,79.193414,9.982266,21.340066,24.266366,86.787329,37.544326,63.136695,1.501773,31.48771,32.538416,49.723028,0.468384
690560.089,1.508222,38.36603,51.947494,32.699793,70.670328,79.230511,9.977808,21.365773,24.294724,86.785696,37.543808,62.849081,1.501752,33.433729,32.537967,49.555121,0.478009
690561.089,1.501605,38.2404,51.952562,32.604145,70.835753,79.398866,10.00609,21.365791,24.297797,86.782748,37.543605,62.681066,1.501744,33.613892,32.537791,49.593948,0.479671
690562.089,1.501589,37.809172,52.560686,32.695637,70.638972,79.550161,9.960106,21.285982,24.292597,86.782212,37.543554,62.822572,1.501742,33.790106,32.537747,49.514999,0.467635
690563.089,1.482762,37.331007,52.581564,32.419043,70.470021,79.572365,9.95835,21.135095,24.287295,86.784356,37.544274,63.172052,1.501771,30.266895,32.538371,49.663132,0.46356
690564.089,1.468679,36.856632,52.481826,32.465718,70.727662,79.331758,9.96813,20.966704,24.295323,86.781794,37.544643,63.682194,1.501786,22.257165,32.53869,49.646937,0.470341
690565.089,1.463162,36.403912,52.296886,32.51056,70.550077,79.245162,9.971621,20.860214,24.298134,86.778187,37.542517,64.324699,1.501701,13.176783,32.536848,49.635104,0.468398
690566.093,1.463471,36.522227,52.406163,32.546738,70.671246,79.096496,9.964286,20.932516,24.275751,86.781306,37.543962,64.617179,1.501758,3.800758,32.538101,49.6263,0.463209
690567.093,1.464356,36.548416,52.416105,32.434138,70.723858,79.034985,9.967288,21.179551,24.268201,86.779856,37.543911,64.940484,1.501756,1.569878,32.538056,49.681766,0.460447
690568.093,1.475628,37.387427,51.609641,32.680537,70.958304,79.092292,9.977647,21.438719,24.258353,86.780291,37.544066,64.530961,1.501763,2.626912,32.53819,49.557651,0.473067
690569.093,1.487067,37.869987,52.423679,32.540531,70.626173,79.29414,9.968302,21.564625,24.306746,86.784654,37.543453,64.134162,1.501738,3.009216,32.537659,49.601561,0.468631
690570.096,1.479054,38.263888,52.498021,32.681377,70.762379,79.151417,9.950199,21.524152,24.298601,86.788108,37.544222,63.663037,1.501769,2.120469,32.538325,49.529006,0.475013
690571.096,1.460437,38.286312,52.547629,32.726653,70.450525,79.121728,9.998806,21.456341,24.273881,86.787951,37.544118,63.396772,1.501765,2.098535,32.538235,49.48287,0.474052
690572.096,1.479487,38.288355,52.961632,32.666533,70.691511,79.037171,9.983206,21.478925,24.268757,86.789996,37.54459,63.139753,1.501784,1.89952,32.538644,49.501087,0.478726
690573.096,1.484626,38.24115,51.81693,32.680972,70.788439,79.024001,9.963837,21.573559,24.338872,86.785059,37.544537,62.929226,1.501781,2.499782,32.538599,49.483557,0.464811
690574.096,1.50029,38.164509,51.864433,32.711591,70.880485,79.400656,9.969657,21.649436,24.337043,86.787636,37.545072,62.760378,1.501803,4.862323,32.539063,49.414766,0.472365
690575.097,1.504232,37.810751,52.786579,32.390571,70.720043,79.541478,9.977348,21.64995,24.279219,86.784027,37.542955,62.856644,1.501718,5.34084,32.537228,49.568709,0.46131
690576.097,1.509044,37.370121,52.536005,32.525982,70.756647,79.649373,9.950626,21.66438,24.285961,86.787722,37.544066,63.170709,1.501763,6.903831,32.53819,49.534992,0.473779
690577.103,1.511288,36.900026,52.359802,32.436937,70.663038,79.536972,9.954383,21.655294,24.294402,86.784548,37.544326,63.66136,1.501773,9.120222,32.538416,49.582302,0.471888
690578.103,1.512274,36.476159,51.220156,32.479375,70.626784,79.317155,9.955403,21.553309,24.351571,86.785611,37.543808,64.271022,1.501752,11.878611,32.537967,49.567664,0.474749
690579.103,1.513066,36.451057,52.209549,32.308018,70.6562,79.128639,9.968007,21.404468,24.313806,86.784982,37.543655,64.662571,1.501746,14.8746,32.537835,49.672961,0.47153
690580.103,1.511227,36.783954,51.863142,32.430455,70.706315,79.073387,9.951309,21.274756,24.328378,86.786839,37.544379,64.739204,1.501775,17.113203,32.538462,49.652086,0.468222
690581.106,1.499424,37.225014,52.478601,32.470354,70.665952,79.099899,9.980434,21.178018,24.321576,86.784356,37.543554,64.595031,1.501742,17.012866,32.537747,49.646859,0.472754
690582.106,1.515622,37.747615,52.611746,32.603108,70.590131,79.088855,9.957776,21.051416,24.234833,86.789356,37.544014,64.227642,1.501761,19.485876,32.538146,49.561754,0.477462
690583.106,1.519648,38.116738,52.85227,32.567981,70.264157,79.120016,9.974354,20.984143,24.275877,86.783492,37.544014,63.830817,1.501761,23.863516,32.538146,49.57533,0.4673
690584.106,1.518022,38.254066,53.054869,32.45379,70.38711,78.84701,9.952042,21.068332,24.375605,86.78088,37.544537,63.501766,1.501781,27.835012,32.538599,49.649681,0.453935
690585.106,1.518603,38.286748,52.05748,32.521202,70.570949,78.841829,9.979667,21.241883,24.327707,86.785264,37.544118,63.225852,1.501765,31.804612,32.538235,49.630229,0.48357
690586.112,1.514107,38.312441,52.042758,32.448907,70.519147,78.924659,9.973705,21.328595,24.358401,86.784577,37.544431,62.948508,1.501777,35.142347,32.538507,49.663726,0.469352
