Time (sec),Water Level (ft),Water Flowrate (GPM),House Steam Pressure (psig),Steam Pressure (psig),Inlet Water Temperature (C),Outlet Water Temperature (C),Makeup Temperature (C),Makeup Flowrate (L/min),Ambient Temperature (C),Ambient Pressure (kPa),Flow Setpoint (GPM),Flow Control Output (%),Level Setpoint (ft),Level Control Output (%),Steam Setpoint (psig),Steam Control Output (%),Tube-Side Pressure Drop (psig)
688588.689,1.449164,38.146232,53.871649,32.529465,71.656629,80.36152,10.653891,21.545211,24.282435,86.769818,37.544222,62.704412,1.501769,8.609694,32.538325,50.011724,0.498492
688589.689,1.426145,38.036797,53.679416,32.711266,71.769216,80.483752,10.658631,21.581449,24.252287,86.768571,37.543962,62.606961,1.501758,1.694067,32.538101,49.898124,0.503496
688590.689,1.425508,37.699975,52.810336,32.720259,71.878657,80.418301,10.660455,21.579787,24.238369,86.768919,37.543706,62.709826,1.501748,1.335703,32.537879,49.857228,0.491508
688591.689,1.44594,37.042078,53.529548,32.648776,71.775046,80.529927,10.663556,21.590868,24.227595,86.770814,37.544118,63.274441,1.501765,1.190181,32.538235,49.867341,0.498408
688592.69,1.45185,36.605492,53.419411,32.578446,71.899247,80.484685,10.671361,21.648551,24.379616,86.773772,37.544803,63.843508,1.501792,1.786578,32.538829,49.897909,0.491803
688593.69,1.460267,36.396052,53.865116,32.493336,71.836335,80.348467,10.65677,21.691303,24.226028,86.769979,37.543403,64.370183,1.501736,1.382087,32.537616,49.954919,0.49533
688594.69,1.459339,36.544563,53.125479,32.350872,71.818247,80.269187,10.659656,21.699348,24.274055,86.767552,37.543353,64.644972,1.501734,1.512585,32.537572,50.036248,0.491593
688595.69,1.458894,36.902413,53.680664,32.563759,71.951382,80.221717,10.634479,21.701695,24.260417,86.768982,37.544066,64.661717,1.501763,1.493376,32.53819,49.942709,0.491519
688596.696,1.464407,37.076689,54.004102,32.688801,71.888697,80.298249,10.636833,21.609481,24.237304,86.770455,37.543453,64.706964,1.501738,2.546556,32.537659,49.862476,0.502976
688597.696,1.461948,37.528498,53.366591,32.484956,72.00497,80.263391,10.643734,21.478774,24.238406,86.773592,37.544856,64.495472,1.501794,2.137803,32.538876,49.971738,0.487532
688598.702,1.477434,37.976892,53.219979,32.386225,71.927793,80.313669,10.673177,21.307815,24.246937,86.773379,37.543554,64.064038,1.501742,2.383518,32.537747,50.034358,0.491191
