Time (sec),Water Level (ft),Water Flowrate (GPM),House Steam Pressure (psig),Steam Pressure (psig),Inlet Water Temperature (C),Outlet Water Temperature (C),Makeup Temperature (C),Makeup Flowrate (L/min),Ambient Temperature (C),Ambient Pressure (kPa),Flow Setpoint (GPM),Flow Control Output (%),Level Setpoint (ft),Level Control Output (%),Steam Setpoint (psig),Steam Control Output (%),Tube-Side Pressure Drop (psig)
691231.872,1.528534,38.794195,52.097452,45.259003,74.854094,83.579693,9.869149,21.443958,24.418713,86.806161,39.645675,67.134631,1.50173,30.209066,45.051903,73.060067,0.475977
691232.875,1.528718,39.304355,52.885587,45.275822,74.732932,83.535828,9.857978,21.536221,24.371984,86.804159,39.646208,67.015497,1.50175,37.200647,45.052509,73.018783,0.476953
691233.875,1.514425,40.197759,52.459624,45.13775,74.793748,83.477648,9.866879,21.625356,24.378491,86.805108,39.646919,66.297402,1.501777,41.474716,45.053318,73.061635,0.466141
691234.875,1.511913,40.546822,52.277239,45.130891,74.855714,83.434404,9.869347,21.645745,24.416361,86.802534,39.64637,65.770033,1.501756,43.792068,45.052693,73.05754,0.467529
691235.879,1.51503,40.698137,52.413059,45.335926,74.917205,83.460572,9.850701,21.554237,24.43558,86.802815,39.645833,65.320438,1.501736,46.963513,45.052083,72.921003,0.474622
691236.88,1.50997,40.760714,52.46107,45.309222,74.846338,83.589829,9.82721,21.38831,24.384875,86.804014,39.646316,64.899511,1.501754,49.035119,45.052632,72.894176,0.465211
691237.88,1.502623,40.690638,52.336533,45.412712,74.804214,83.921371,9.840645,21.241024,24.394012,86.806628,39.647087,64.577563,1.501784,50.144237,45.053508,72.777368,0.47612
691238.88,1.493445,40.431422,52.345202,45.332651,74.752938,83.97851,9.839587,21.165725,24.448755,86.804321,39.646753,64.440309,1.501771,48.179302,45.053129,72.76706,0.477683
691239.88,1.488475,39.838791,51.450651,45.251816,74.660735,84.011767,9.839409,21.10336,24.455212,86.799129,39.645993,64.706657,1.501742,45.280578,45.052265,72.775346,0.475822
691240.883,1.473184,39.223872,51.81026,45.157361,74.662261,83.889771,9.847385,21.112803,24.432406,86.799542,39.6461,65.197814,1.501746,38.682454,45.052386,72.784627,0.462763
691241.886,1.466945,38.584908,52.385394,45.42848,74.380305,83.929562,9.845475,21.138969,24.393974,86.799577,39.646809,65.924676,1.501773,30.254382,45.053191,72.61576,0.474068
691242.886,1.462465,38.263249,52.051307,45.111438,74.822679,83.431682,9.841515,21.233264,24.425175,86.80228,39.646424,66.611799,1.501758,20.735582,45.052755,72.746207,0.465772
691243.886,1.449479,38.453016,52.528007,45.26989,74.64291,83.445339,9.855607,21.460177,24.398407,86.804239,39.646753,66.930684,1.501771,9.067367,45.053129,72.644019,0.464673
691244.889,1.431514,38.879104,52.371779,45.200522,74.735284,83.530575,9.872302,21.73124,24.473018,86.808697,39.646919,66.95415,1.501777,1.304524,45.053318,72.645347,0.466149
691245.889,1.430172,39.374301,51.661649,45.295437,74.873508,83.4459,9.857368,21.949608,24.421636,86.803668,39.646919,66.76894,1.501777,1.254556,45.053318,72.566469,0.473234
691246.889,1.443786,39.652488,52.197192,45.404529,74.737946,83.594852,9.850988,22.092301,24.459874,86.802237,39.646698,66.585581,1.501769,2.219025,45.053066,72.456536,0.465989
691247.889,1.448397,39.910531,53.126953,45.228342,74.916737,83.487517,9.854504,22.13547,24.458691,86.804014,39.6461,66.376567,1.501746,1.66372,45.052386,72.500039,0.452153
691248.889,1.448204,40.379052,51.81755,45.256926,74.840182,83.686306,9.860026,22.112902,24.413653,86.805294,39.647087,65.835272,1.501784,1.553786,45.053508,72.461114,0.461745
691249.892,1.449687,40.419145,52.123997,45.332883,74.969055,83.513958,9.850688,21.953968,24.467539,86.801731,39.645413,65.541448,1.50172,2.513639,45.051606,72.384412,0.466713
691250.892,1.464775,40.434516,52.806477,45.315913,74.934709,83.713259,9.848362,21.724424,24.426964,86.80521,39.647255,65.266966,1.50179,2.313033,45.053699,72.350293,0.459798
691251.892,1.46966,40.462062,52.207286,45.330127,74.967144,83.618257,9.852796,21.495622,24.494256,86.810102,39.646975,64.973998,1.501779,2.032017,45.053381,72.288944,0.471121
691252.892,1.468812,40.451861,52.630777,45.440686,75.006716,83.980419,9.854192,21.327697,24.419888,86.808959,39.646919,64.694083,1.501777,2.324195,45.053318,72.180424,0.474764
691253.892,1.467896,40.359485,52.139555,45.317466,75.011677,84.05171,9.844436,21.265962,24.432987,86.803973,39.646864,64.509037,1.501775,2.141307,45.053254,72.184416,0.47445
691254.896,1.488325,39.932771,52.701935,45.503542,74.950732,84.196577,9.864441,21.257762,24.509872,86.805446,39.646975,64.610673,1.501779,3.684997,45.053381,72.040282,0.464069
691255.896,1.51447,39.210228,52.086495,45.615131,74.804109,84.065499,9.878615,21.276288,24.428509,86.802111,39.646919,65.189579,1.501777,7.460537,45.053318,71.90232,0.480387
691256.896,1.511691,38.595859,52.156571,45.316626,74.764659,84.084896,9.855991,21.215111,24.450021,86.801849,39.645727,65.893253,1.501732,10.157854,45.051963,71.980748,0.466903
691257.902,1.513026,38.183266,51.880024,45.143288,74.493077,83.772691,9.865923,21.108264,24.430874,86.805073,39.647087,66.655507,1.501784,12.896635,45.053508,72.045931,0.473252
691258.902,1.51442,38.138089,53.161295,45.059838,74.837921,83.321356,9.853823,21.0569,24.426298,86.802238,39.646698,67.204919,1.501769,16.538544,45.053066,72.063459,0.455392
691259.902,1.512741,38.441093,51.99404,45.314827,74.859763,83.494217,9.862658,21.066914,24.391606,86.804379,39.646809,67.482656,1.501773,19.359349,45.053191,71.926827,0.47231
691260.902,1.507121,39.308567,51.880464,44.98719,74.940537,83.427253,9.868156,21.182501,24.469784,86.807321,39.646753,67.092681,1.501771,21.019674,45.053129,72.06848,0.462159
691261.902,1.505235,39.968395,52.481969,45.097526,74.962386,83.511539,9.839776,21.379663,24.460884,86.804793,39.646864,66.615363,1.501775,21.400291,45.053254,72.017856,0.461869
691262.902,1.512939,40.59379,52.342134,45.220634,74.867602,83.483487,9.847447,21.560296,24.425815,86.806753,39.646809,65.923406,1.501773,23.858674,45.053191,71.939689,0.473723
691263.902,1.520491,40.836907,52.555885,45.267771,75.037379,83.545796,9.845114,21.669582,24.460134,86.804778,39.646588,65.357227,1.501765,28.634246,45.052941,71.883806,0.480108
691264.902,1.508227,40.87131,52.246021,45.127365,74.928983,83.742235,9.845986,21.654602,24.464757,86.8046,39.646975,64.92414,1.501779,31.651217,45.053381,71.922311,0.467432
691265.902,1.477845,40.745372,52.631191,45.382956,74.565388,84.106777,9.842258,21.534481,24.451409,86.806967,39.646809,64.59113,1.501773,26.376587,45.053191,71.753212,0.466205
