Time (sec),Water Level (ft),Water Flowrate (GPM),House Steam Pressure (psig),Steam Pressure (psig),Inlet Water Temperature (C),Outlet Water Temperature (C),Makeup Temperature (C),Makeup Flowrate (L/min),Ambient Temperature (C),Ambient Pressure (kPa),Flow Setpoint (GPM),Flow Control Output (%),Level Setpoint (ft),Level Control Output (%),Steam Setpoint (psig),Steam Control Output (%),Tube-Side Pressure Drop (psig)
688092.964,1.45228,25.055151,54.230028,45.054691,71.950446,85.189906,11.298167,21.496496,24.305977,86.713679,25.011317,49.853215,1.500679,15.434423,45.020371,70.79716,0.506479
688093.964,1.448582,25.114981,53.610468,45.178141,72.105162,85.094463,11.307389,21.463152,24.333547,86.772434,25.02867,49.803069,1.50172,1.696443,45.051606,70.783751,0.514286
688094.964,1.445825,25.125306,54.174165,45.000881,72.259156,85.175902,11.328433,21.367063,24.370957,86.77848,25.029691,49.768303,1.501781,1.665821,45.053444,70.873515,0.510944
688095.964,1.448925,25.171716,54.014342,45.165216,72.22048,85.242709,11.299364,21.288825,24.380205,86.776637,25.029412,49.691996,1.501765,1.747618,45.052941,70.790429,0.513252
688096.965,1.457534,25.192375,53.725102,45.136812,72.31953,85.29109,11.315708,21.142786,24.405664,86.775663,25.029138,49.6231,1.501748,1.793729,45.052448,70.793746,0.51432
688097.965,1.46189,25.217408,53.835337,45.307006,72.337415,85.29587,11.297343,21.021457,24.368563,86.772637,25.028802,49.543718,1.501728,1.924556,45.051843,70.687607,0.516249
688098.965,1.454161,25.241551,54.210289,45.067142,72.302141,85.363078,11.285148,21.022815,24.347377,86.776215,25.029551,49.458469,1.501773,1.291018,45.053191,70.788001,0.503618
688099.966,1.45543,25.242833,53.39341,45.088266,72.325975,85.375486,11.286083,21.096553,24.360037,86.777607,25.029274,49.383948,1.501756,1.806815,45.052693,70.775236,0.505038
688100.966,1.46048,25.24475,54.281265,45.189274,72.434702,85.33903,11.284789,21.148961,24.369669,86.776084,25.029172,49.309567,1.50175,1.664782,45.052509,70.718716,0.503544
688101.966,1.462077,25.27206,53.908578,44.961415,72.399577,85.398322,11.262653,21.194055,24.383474,86.774617,25.028969,49.210527,1.501738,2.058944,45.052144,70.818079,0.500751
688102.966,1.469004,25.318431,53.662633,45.134803,72.352431,85.485428,11.296163,21.277245,24.370206,86.775577,25.029206,49.085145,1.501752,1.854641,45.05257,70.736694,0.514712
688103.966,1.476715,25.321696,54.253086,45.149925,72.404876,85.489983,11.253137,21.417847,24.342512,86.775955,25.029172,48.982464,1.50175,2.367822,45.052509,70.712553,0.506729
688104.966,1.49208,25.342524,53.775185,45.081037,72.366634,85.459069,11.246721,21.538674,24.347562,86.777748,25.029206,48.863578,1.501752,3.746749,45.05257,70.726259,0.503045
688105.966,1.492414,25.333471,54.37763,44.998805,72.281759,85.583778,11.281806,21.609997,24.377763,86.779329,25.029869,48.764539,1.501792,2.453397,45.053763,70.768024,0.505145
688106.966,1.494677,25.211368,54.058444,45.106203,72.478632,85.774631,11.254169,21.641543,24.391932,86.777192,25.029551,48.76746,1.501773,3.216369,45.053191,70.723178,0.505654
688107.966,1.494211,24.992016,53.184621,44.924328,72.486824,85.792396,11.264242,21.583494,24.378322,86.776527,25.029412,48.902217,1.501765,2.471647,45.052941,70.809775,0.515016
