Time (sec),Water Level (ft),Water Flowrate (GPM),House Steam Pressure (psig),Steam Pressure (psig),Inlet Water Temperature (C),Outlet Water Temperature (C),Makeup Temperature (C),Makeup Flowrate (L/min),Ambient Temperature (C),Ambient Pressure (kPa),Flow Setpoint (GPM),Flow Control Output (%),Level Setpoint (ft),Level Control Output (%),Steam Setpoint (psig),Steam Control Output (%),Tube-Side Pressure Drop (psig)
90848.249,1.454187,34.621654,48.84222,20.047582,65.804046,73.626906,10.076598,21.171525,24.153783,86.1431,35.420593,61.942884,1.500873,1.914713,20.011635,32.033965,0.461787
90849.251,1.448659,35.278188,47.888291,20.201401,66.127594,73.810505,10.065805,21.105254,24.175446,86.199723,35.444417,61.808633,1.501882,1.917999,20.025094,31.969935,0.469786
90850.251,1.448547,35.778671,49.251619,20.126255,65.980074,73.827742,10.039807,21.076488,24.130423,86.20182,35.445038,61.402387,1.501908,1.540119,20.025445,31.979108,0.453241
90851.252,1.446389,35.944945,49.306422,20.070489,66.131213,73.903966,10.042999,21.02559,24.198097,86.198354,35.443866,61.125208,1.501859,1.412362,20.024783,31.993112,0.458419
90852.252,1.44976,35.951678,49.131156,20.058614,66.181512,73.890922,10.067542,21.019743,24.137499,86.191833,35.441893,60.943295,1.501775,2.204348,20.023669,31.985295,0.477752
90853.252,1.464285,35.974504,49.768675,19.583853,66.072407,73.959742,10.082686,21.006738,24.140802,86.198517,35.444085,60.753879,1.501868,2.551356,20.024907,32.259538,0.463015
90854.258,1.472446,35.994961,49.186077,20.339287,66.055786,73.92811,10.006733,20.987299,24.178282,86.197236,35.443704,60.551787,1.501852,1.809007,20.024691,31.890696,0.419052
90855.258,1.486136,36.004481,49.225143,19.757778,65.937748,73.900425,10.02618,20.904407,24.149246,86.197217,35.444641,60.355993,1.501892,2.262753,20.025221,32.167672,0.487442
90856.258,1.493998,36.020334,49.025071,19.866003,66.146222,73.860164,10.087475,20.929576,24.114762,86.198308,35.44425,60.146353,1.501875,2.882706,20.025,32.161098,0.47594
90857.264,1.499927,35.932743,47.792877,20.045959,66.091851,74.145068,10.099378,20.954281,24.170316,86.198088,35.444305,60.016451,1.501877,4.257194,20.025031,32.097294,0.451875
90858.264,1.511078,35.517782,49.194166,20.100297,65.929899,74.239154,10.024391,20.932703,24.147997,86.202745,35.444753,60.226485,1.501896,6.329752,20.025284,32.080228,0.450311
90859.268,1.512949,35.087833,49.019052,19.944478,66.097709,74.151677,10.060931,20.86288,24.11361,86.201769,35.444981,60.592559,1.501906,9.421423,20.025413,32.162558,0.427268
90860.268,1.515174,34.662869,49.372648,19.676564,66.054178,74.148888,10.072908,20.833071,24.12662,86.197951,35.444195,61.102219,1.501873,12.15659,20.024969,32.300765,0.451739
90861.268,1.524429,34.430215,48.167894,19.690359,66.06186,73.97377,10.086849,20.909547,24.179601,86.199938,35.444867,61.599201,1.501901,18.10682,20.025349,32.366556,0.454844
90862.276,1.519639,34.51888,49.277186,20.049319,65.668835,73.877013,10.027355,21.048008,24.190902,86.198902,35.44481,61.880483,1.501899,22.622468,20.025316,32.1895,0.446871
90863.276,1.512844,34.91658,49.010383,20.093816,65.537809,73.691573,10.034808,21.190047,24.167275,86.203335,35.445796,61.84397,1.50194,25.638621,20.025873,32.17502,0.450078
