Time (sec),Water Level (ft),Water Flowrate (GPM),House Steam Pressure (psig),Steam Pressure (psig),Inlet Water Temperature (C),Outlet Water Temperature (C),Makeup Temperature (C),Makeup Flowrate (L/min),Ambient Temperature (C),Ambient Pressure (kPa),Flow Setpoint (GPM),Flow Control Output (%),Level Setpoint (ft),Level Control Output (%),Steam Setpoint (psig),Steam Control Output (%),Tube-Side Pressure Drop (psig)
86171.262,1.425504,25.191667,54.05449,30.350218,33.867855,38.564274,10.048243,20.880785,23.906313,86.253456,25.031211,48.018883,1.501873,3.652677,30.437953,46.679404,0.477452
86172.266,1.423949,25.207273,51.734478,30.619642,33.791833,38.603982,10.052926,20.85794,23.856767,86.246283,25.030637,47.948097,1.501838,1.412223,30.437255,46.539685,0.482914
86173.266,1.423357,25.215187,52.662098,30.657082,33.845665,38.651505,10.046773,20.930562,23.866736,86.248103,25.031172,47.880731,1.50187,2.052366,30.437905,46.481261,0.473238
86174.266,1.425406,25.217673,52.432484,30.776412,33.907159,38.626652,10.051954,21.071026,23.843464,86.250434,25.031526,47.816805,1.501892,1.586162,30.438335,46.387973,0.48025
86175.266,1.423947,25.178962,51.661826,30.729109,33.738956,38.670263,10.039989,21.187703,23.852785,86.249948,25.030864,47.784735,1.501852,1.263799,30.437531,46.348797,0.469665
86176.266,1.412119,25.165995,52.836167,30.426987,33.921464,38.72285,10.046082,21.194005,23.877688,86.246738,25.030864,47.747332,1.501852,1.072524,30.437531,46.484286,0.472988
86177.266,1.424759,25.152799,52.64936,30.487233,33.953052,38.579709,10.063768,21.105285,23.886051,86.2526,25.031566,47.714234,1.501894,1.300931,30.438384,46.437494,0.479952
86178.266,1.432446,25.106538,52.667329,30.445214,33.83926,38.609515,10.059514,21.007463,23.920357,86.251647,25.031847,47.714284,1.501911,1.844891,30.438726,46.458603,0.47532
86179.266,1.442554,25.016143,53.056302,30.680255,33.839874,38.66214,10.041743,20.935746,23.876994,86.25146,25.031486,47.767798,1.501889,2.203116,30.438287,46.317463,0.465047
86180.266,1.444701,24.914044,53.318216,30.516069,33.906616,38.571177,10.052159,20.877873,23.857949,86.245584,25.030979,47.862015,1.501859,1.296035,30.43767,46.380018,0.486098
86181.266,1.447852,24.863663,52.981398,30.567653,34.005276,38.546409,10.031731,20.8381,23.832346,86.256888,25.032258,47.956923,1.501935,1.586469,30.439226,46.313775,0.463294
86182.266,1.449926,24.767213,53.246719,30.436351,33.808367,38.614893,10.042106,20.761448,23.854868,86.255959,25.032216,48.096181,1.501933,2.397736,30.439175,46.39148,0.481272
