Time (sec),Water Level (ft),Water Flowrate (GPM),House Steam Pressure (psig),Steam Pressure (psig),Inlet Water Temperature (C),Outlet Water Temperature (C),Makeup Temperature (C),Makeup Flowrate (L/min),Ambient Temperature (C),Ambient Pressure (kPa),Flow Setpoint (GPM),Flow Control Output (%),Level Setpoint (ft),Level Control Output (%),Steam Setpoint (psig),Steam Control Output (%),Tube-Side Pressure Drop (psig)
84907.723,1.513366,36.774606,54.206979,32.387719,33.051239,36.250469,10.033425,21.161424,23.972836,86.293135,37.550744,63.703408,1.50203,62.100691,32.543978,49.525544,0.474777
84954.569,1.472014,37.503887,53.793714,32.497018,33.290474,36.409229,10.029476,21.195914,23.935564,86.177991,37.50102,63.015448,1.500041,19.788128,32.500884,49.446473,0.479437
84955.569,1.433729,37.031423,53.86161,32.826144,33.477119,36.671939,10.023621,21.500396,24.058995,86.284344,37.547893,63.649543,1.501916,0.880037,32.541507,49.291593,0.485923
84956.569,1.439057,37.334842,54.283083,32.714981,33.47107,36.663636,10.053475,21.362036,24.00749,86.281009,37.54717,63.551912,1.501887,1.18371,32.540881,49.296815,0.469598
84957.569,1.43938,37.574874,53.407982,32.547952,33.479594,36.636519,10.044816,21.244595,23.991772,86.286801,37.547111,63.406068,1.501884,2.05652,32.540829,49.370308,0.47973
84958.569,1.445432,37.798466,53.447147,32.61333,33.332689,36.642328,10.030967,21.117346,24.066538,86.287005,37.547051,63.191194,1.501882,1.682558,32.540778,49.316446,0.484113
84959.572,1.450326,37.885669,54.28853,32.756372,33.500719,36.506432,10.021738,21.007083,24.040375,86.284458,37.547289,63.024199,1.501892,2.375159,32.540984,49.233063,0.485707
84960.572,1.454299,37.886773,54.144527,32.531908,33.477281,36.571081,10.034225,20.919174,24.12701,86.285425,37.54717,62.905523,1.501887,2.191021,32.540881,49.324823,0.479292
84961.572,1.4583,37.890733,54.185129,32.59777,33.545813,36.610916,10.033447,20.885126,24.069806,86.284837,37.547589,62.789409,1.501904,1.790213,32.541244,49.295723,0.486952
84962.572,1.476864,37.939585,54.094303,32.450845,33.46813,36.637001,10.065234,20.884223,24.12831,86.287125,37.548638,62.628423,1.501946,2.232844,32.542153,49.377964,0.485873
84963.572,1.481803,37.937757,53.668453,32.797226,33.546995,36.610393,10.005368,20.953129,24.052495,86.283152,37.546642,62.490671,1.501866,1.90551,32.540423,49.198012,0.500059
84964.572,1.483618,37.938926,54.302102,32.440168,33.451753,36.605932,10.051482,21.064538,24.09095,86.287342,37.548139,62.36039,1.501926,1.741258,32.54172,49.355761,0.477204
84965.572,1.484291,37.87872,53.692416,32.482154,33.461406,36.628872,10.03928,21.227352,24.113566,86.288106,37.548139,62.278748,1.501926,3.159514,32.54172,49.347595,0.483826
84966.572,1.502138,37.685134,53.895403,32.388814,33.462342,36.612456,10.069172,21.355831,24.090757,86.285988,37.547408,62.337917,1.501896,4.960972,32.541087,49.415434,0.483799
84967.578,1.506577,37.45748,53.887918,32.446633,33.498903,36.638411,10.049363,21.352255,24.087826,86.284815,37.54717,62.500938,1.501887,6.462925,32.540881,49.397002,0.482267
84968.578,1.50814,37.145739,54.066997,32.494845,33.556277,36.653002,10.042505,21.275607,24.127606,86.292932,37.550134,62.821575,1.502005,7.60367,32.543449,49.40364,0.489616
84969.578,1.507041,36.880328,53.80556,32.268623,33.489233,36.675378,10.050561,21.193581,24.1034,86.288615,37.549538,63.20146,1.501982,8.827846,32.542933,49.541865,0.482529
84970.578,1.511695,36.866286,54.308712,32.347343,33.47712,36.639624,10.059886,21.088246,24.063098,86.29041,37.548701,63.439303,1.501948,11.026522,32.542208,49.540484,0.477638
84971.58,1.513033,36.725993,54.095794,32.385991,33.435235,36.564552,10.03424,20.916305,24.036101,86.284764,37.547468,63.798701,1.501899,13.576923,32.541139,49.546952,0.474142
84972.58,1.517211,37.013868,53.944274,32.612074,33.347366,36.538094,10.023824,20.809105,24.014601,86.284579,37.548139,63.826583,1.501926,16.995766,32.54172,49.448244,0.473302
84973.589,1.513985,37.285039,54.30548,32.293894,33.38136,36.475434,10.030038,20.872523,24.112123,86.283577,37.546758,63.757712,1.50187,20.388765,32.540524,49.609438,0.508674
84974.589,1.515903,37.584234,53.486661,32.585774,33.414157,36.472033,10.033502,21.08747,24.089755,86.286452,37.547649,63.57514,1.501906,23.683289,32.541296,49.486944,0.477696
84975.589,1.516314,37.582577,54.107155,32.478239,33.477552,36.487178,10.043185,21.253127,24.070806,86.282243,37.545676,63.559217,1.501827,27.063816,32.539586,49.552027,0.476426
84976.596,1.520586,37.943041,53.817425,32.619352,33.449697,36.569887,10.041661,21.330061,24.096123,86.289938,37.548077,63.229759,1.501923,31.632875,32.541667,49.471786,0.488772
84977.596,1.511478,37.988701,53.934739,32.477057,33.521312,36.548444,10.033615,21.366162,24.056692,86.285786,37.548015,63.04943,1.501921,34.420426,32.541613,49.545726,0.47496
84978.596,1.50498,38.011936,53.427258,32.57033,33.387918,36.612307,10.018082,21.412529,24.071239,86.286304,37.548077,62.876174,1.501923,35.848604,32.541667,49.503104,0.479052
84979.597,1.506253,37.991239,53.927521,32.586927,33.467099,36.561704,10.058802,21.481267,24.076438,86.291422,37.550539,62.743323,1.502022,36.666815,32.543801,49.483878,0.495414
84980.597,1.504219,37.989371,53.99657,32.38194,33.384447,36.546881,10.02416,21.494256,24.05506,86.283561,37.54771,62.586125,1.501908,37.139002,32.541349,49.598403,0.480038
