Time (sec),Water Level (ft),Water Flowrate (GPM),House Steam Pressure (psig),Steam Pressure (psig),Inlet Water Temperature (C),Outlet Water Temperature (C),Makeup Temperature (C),Makeup Flowrate (L/min),Ambient Temperature (C),Ambient Pressure (kPa),Flow Setpoint (GPM),Flow Control Output (%),Level Setpoint (ft),Level Control Output (%),Steam Setpoint (psig),Steam Control Output (%),Tube-Side Pressure Drop (psig)
91880.849,1.478342,37.483775,46.497851,32.266452,70.612222,79.126854,10.053392,21.170983,24.096256,86.202582,37.549867,62.710619,1.501995,22.945819,32.543218,50.306321,0.462544
91881.849,1.477419,37.059475,47.86532,32.353178,70.404429,79.175362,10.074213,21.340879,24.091314,86.195625,37.546816,63.113281,1.501873,16.935392,32.540574,50.317942,0.485363
91882.849,1.472811,36.643569,48.202033,32.437382,70.576217,79.110295,10.038558,21.508285,24.130589,86.19735,37.547229,63.659054,1.501889,9.834536,32.540932,50.291697,0.459959
91883.849,1.46527,36.508358,47.928088,32.496596,70.469227,78.890933,10.03411,21.616198,24.200703,86.195674,37.547468,64.097344,1.501899,3.041209,32.541139,50.284748,0.45142
91884.849,1.456208,36.67771,48.075,32.652046,70.652197,78.818282,10.066152,21.594027,24.110328,86.199261,37.548263,64.317448,1.501931,2.181804,32.541828,50.204452,0.424509
91885.849,1.448374,37.043727,47.896652,32.615122,70.720263,78.879738,10.00115,21.48669,24.08811,86.193442,37.545235,64.277691,1.501809,2.137982,32.539204,50.206626,0.456221
91886.854,1.455558,37.47945,48.182574,32.52921,70.830516,78.998755,10.041542,21.299456,24.100059,86.201665,37.547954,64.059658,1.501918,1.536174,32.54156,50.218789,0.486225
91887.855,1.469653,37.909345,47.979247,32.829144,71.03151,79.023576,10.060119,21.152863,24.148203,86.201355,37.548512,63.69111,1.50194,2.182169,32.542044,50.095664,0.440011
91888.855,1.488551,38.072171,47.867941,32.618242,71.067401,79.215242,10.071407,21.089119,24.077441,86.194583,37.546411,63.409595,1.501856,1.999062,32.540223,50.143489,0.450721
91889.857,1.489363,38.115912,47.729646,32.550016,70.973113,79.243049,10.079457,21.1124,24.096325,86.199975,37.547771,63.189565,1.501911,1.872436,32.541401,50.177591,0.465092
91890.857,1.487795,38.133357,48.620464,32.682189,70.926478,79.248827,10.031179,21.055979,24.083659,86.193281,37.546125,62.975734,1.501845,2.155755,32.539975,50.068744,0.462079
91891.857,1.488028,38.140731,47.684914,32.850798,71.013563,79.254973,10.041058,20.962324,24.071667,86.196216,37.548263,62.770293,1.501931,2.004454,32.541828,49.971421,0.451387
91892.859,1.506048,38.141654,48.292325,32.782623,71.046932,79.225032,10.071213,20.901541,24.044356,86.198987,37.547289,62.565054,1.501892,3.564788,32.540984,49.968383,0.448493
91893.859,1.503075,38.120621,48.486806,32.514542,70.912191,79.427752,10.031677,20.937885,24.040846,86.196444,37.547051,62.376797,1.501882,4.31062,32.540778,50.076174,0.446724
91894.86,1.504382,38.117243,48.649292,32.533761,71.054544,79.580768,10.02486,21.019591,24.074428,86.199138,37.54845,62.188893,1.501938,4.77482,32.54199,50.073111,0.461305
91895.86,1.507091,37.535285,48.402438,32.467182,71.196574,79.563333,10.01752,21.088218,24.061297,86.198154,37.548077,62.503872,1.501923,5.953391,32.541667,50.116874,0.451481
91896.86,1.508543,37.032587,48.149511,32.563686,71.02796,79.71817,10.040326,21.153902,24.078805,86.199715,37.547229,62.959321,1.501889,7.419802,32.540932,50.052669,0.459679
91897.86,1.515707,36.496398,47.585677,32.638728,71.130483,79.644301,10.033189,21.208168,24.061154,86.1958,37.546992,63.629355,1.50188,10.467185,32.540727,50.02263,0.448733
91898.863,1.524422,36.218817,48.02056,32.550542,71.017288,79.365718,10.075467,21.248413,24.045535,86.19995,37.548325,64.255765,1.501933,15.573348,32.541881,50.064529,0.452781
91899.863,1.520273,36.173323,47.846315,32.376582,70.854537,79.315222,10.057972,21.188281,24.030951,86.199661,37.548512,64.762325,1.50194,20.306709,32.542044,50.174029,0.448998
91900.866,1.517387,36.767603,48.294322,32.411959,70.803372,79.120245,10.027349,21.037003,24.06886,86.198615,37.547051,64.722307,1.501882,24.361693,32.540778,50.158762,0.46274
91901.866,1.534228,37.424279,48.188343,32.158038,70.680694,78.979385,10.072118,20.931791,24.053243,86.196503,37.547348,64.378849,1.501894,30.996743,32.541035,50.321563,0.440946
91902.866,1.542614,38.091909,47.597783,32.670603,70.897498,78.873801,10.045421,20.955146,24.104743,86.196807,37.547832,63.818031,1.501913,41.343691,32.541454,50.102883,0.433822
