Time (sec),Water Level (ft),Water Flowrate (GPM),House Steam Pressure (psig),Steam Pressure (psig),Inlet Water Temperature (C),Outlet Water Temperature (C),Makeup Temperature (C),Makeup Flowrate (L/min),Ambient Temperature (C),Ambient Pressure (kPa),Flow Setpoint (GPM),Flow Control Output (%),Level Setpoint (ft),Level Control Output (%),Steam Setpoint (psig),Steam Control Output (%),Tube-Side Pressure Drop (psig)
689420.227,1.481502,50.110651,52.586114,45.154549,74.888709,82.379234,10.027733,21.740857,24.476941,86.761203,50.05848,79.009158,1.501754,34.783878,45.052632,71.107872,0.487333
689421.227,1.458845,50.149447,52.669503,44.827788,75.006031,82.298072,10.052926,21.822321,24.44334,86.761773,50.059242,78.952938,1.501777,23.666576,45.053318,71.282669,0.487507
689422.227,1.465447,50.149745,52.380068,45.108904,75.12925,82.357012,10.027028,21.857676,24.42026,86.762864,50.058411,78.919612,1.501752,15.063486,45.05257,71.137792,0.477728
689423.227,1.467951,50.172727,52.799454,45.1919,75.034876,82.46079,10.042322,21.82085,24.383115,86.762616,50.059102,78.86969,1.501773,6.355092,45.053191,71.092491,0.487906
689424.23,1.459987,50.174631,53.056708,45.077165,75.169319,82.435062,10.033995,21.711996,24.400771,86.760534,50.057737,78.825001,1.501732,1.735826,45.051963,71.140447,0.480087
689425.23,1.446323,50.213162,53.053703,45.192835,75.061677,82.497479,10.049079,21.499763,24.45732,86.761852,50.058343,78.752937,1.50175,1.546941,45.052509,71.0611,0.478501
689426.232,1.44608,50.268138,53.135398,45.165418,75.126834,82.466083,10.059552,21.311725,24.474047,86.760311,50.058685,78.650114,1.501761,1.503946,45.052817,71.06055,0.480576
689427.232,1.447382,50.318525,53.530396,45.083117,75.117234,82.468769,10.037031,21.173922,24.466117,86.761904,50.058411,78.531907,1.501752,1.7566,45.05257,71.085056,0.475782
689428.232,1.447056,50.342853,53.573092,45.079373,74.971697,82.415245,10.052356,21.095138,24.460185,86.757739,50.05787,78.419217,1.501736,1.797782,45.052083,71.089429,0.471781
689429.232,1.457548,50.350972,53.077722,45.002656,75.074632,82.407595,10.070856,21.096801,24.441956,86.760715,50.058072,78.314436,1.501742,1.88166,45.052265,71.119748,0.479721
